ID,Is_Lead
ASOWCMDB,0.054863494
KZ5J2JGC,0.634891486
D5UCFKTV,0.049163502
2N8FFP7W,0.042681053
SA36MTFS,0.026697507
8UDMURUH,0.181879591
7VSQV6QN,0.1474621
IFUG9NC5,0.047252836
EQXDLQRG,0.287554311
JAR8YY9J,0.123932306
BS4TAF6M,0.055838605
WQJ9SPT9,0.218890782
7QHT4ON2,0.051026074
FNGPQN7B,0.139010343
DDOMDZRU,0.725596545
QYR9HXHP,0.330759017
S4NGXFXY,0.018318846
NOJ2KSCC,0.55435397
ZD2JRUNB,0.606852734
GZIPTSNN,0.072727427
LCFYUVE9,0.664547745
PPANVU9W,0.053024521
DRPV9STB,0.078967265
AFSPF3WZ,0.991476679
GPXEUNND,0.606444223
NSADMDSM,0.059539689
CKWJU8RQ,0.700156452
F7MNZSSU,0.053174017
BDGVMPZY,0.682847046
IA3MSRTR,0.083079458
JD3WTPMG,0.45449187
QT6DF6EW,0.66052601
NVDEMCZ2,0.049420608
9B6UTJVT,0.065461369
U6QYES9J,0.025160069
DZQPDSPS,0.138948855
CRGXVSBF,0.162062136
XIHJYS2V,0.695774949
7X2MC5GZ,0.67047815
ZBDVXTM5,0.059665029
UUBQPBR5,0.078257291
CUMZFBTD,0.096602238
E7QXYSQN,0.025443657
6UQAJP48,0.075407795
QHWB768Y,0.052089261
R6RXMXOJ,0.277272597
WXQGZG5K,0.03583829
GCUFKLHG,0.054308751
SJX4372M,0.051644509
VGEAMUZZ,0.132477951
ZWDXVKDF,0.356962831
WGMRCYLR,0.05732213
SI43K5CY,0.147869535
DSNBS2RS,0.169112129
XIMZCKSR,0.541914059
VEW9FXHT,0.020098233
JZJHDDDJ,0.539988781
4TYUR5HA,0.556535173
UHCDFDRX,0.377859219
E5QMOFUM,0.147914367
PSNVWDZH,0.058058786
5IQSWONG,0.061184137
CEAZEPY4,0.99430496
2TNRJXRX,0.023462484
BFROCARA,0.045237403
GRTJMRKM,0.01488061
6EDAM4EU,0.084231088
NRDB58KL,0.049964053
TCPJCWZR,0.04149785
KG8LD2BE,0.030183638
FHZ3XFDV,0.12693344
NZKCSDZ4,0.200644939
6DG6KJG4,0.053188349
BVPKDUNU,0.385001415
APR4PQ6X,0.068455302
HPWS8YFG,0.172728153
VRPBGTPU,0.053316091
XBCSX7G7,0.059044205
KEH3G8UA,0.158810992
WXNAVFLT,0.050882293
8J8NJ7M6,0.17654347
D4UW7Y85,0.057782334
SZRESXN7,0.052551321
UUQSXK5T,0.05297682
GPMUKOVY,0.49737107
6FYOKAZ5,0.285283277
ENUB4N9S,0.196695895
KERBCSGE,0.993493373
7HTA4C6J,0.615526004
4BTVMT6W,0.049864807
MR3J9USD,0.251095846
7S83FNQW,0.691414009
MSOKLC7S,0.026501816
GFMNATHU,0.042679188
NG4ABA6H,0.994613016
3GFHRAQY,0.434248308
BCSGZZPE,0.138266897
PQ9MCGZC,0.089697733
K7N596CG,0.050939188
8RUL6JEE,0.062517093
CVOFJRMP,0.058203475
B4FQX4HG,0.091482911
W7HAQKDV,0.054823381
8C5PKJ7G,0.059720624
E4GQJZSQ,0.047066108
UENREGNV,0.674874849
CC4LYHEW,0.52245652
GDKGLTBT,0.067623249
G3ER8CGX,0.055470878
ZG4KT59X,0.023577447
LW93KJMZ,0.59957124
9AR5FBSQ,0.591347633
FHLWDMRV,0.15124259
EON5DCWD,0.984631462
J8UXTMYV,0.382674438
IXBW5HZH,0.046382762
LDHQB458,0.055658282
GNHTIKF3,0.0407368
8NO22KTE,0.023343354
SGJFSSJK,0.167079309
TD8D3NDD,0.059367117
8RQ27JGU,0.40261433
A8GKBMBO,0.395176643
ODVMNUDE,0.672941116
EA5CRL7L,0.047928259
6UI7RPCH,0.463354343
7BJYM94L,0.050086935
X3PZJF7F,0.632127945
YCSSMPV7,0.694340646
4EV9VXL8,0.612778259
IPNJFQTY,0.282582228
XPWNJRJC,0.034836485
3WHNSBRB,0.173952268
U245YKM8,0.043676986
68EFFKBB,0.797856196
NEUII7AB,0.986297313
F7CSLYWT,0.050931495
5EOMOZHG,0.185826406
6CYUTUFN,0.556184186
K7YUC8LF,0.398746873
LSMCXMXA,0.05604494
AALPBPBP,0.043587495
ZPX6VOH2,0.076778679
CDBFWQGM,0.121146821
JUQ76NJV,0.27068973
QHE7UULR,0.050692879
JRMNMZJA,0.050540836
GZ4EZZFX,0.149095161
9L9JFIAR,0.685449731
GTOE4RN4,0.232538658
CUYE7ST4,0.467202273
FFM6DHEA,0.722783777
5XUK7XLZ,0.663691809
4HTGJEEZ,0.055680353
RWYBAMRG,0.168023233
RQZGBGGN,0.376703555
ITVSUTU9,0.214261214
6UMDX7NQ,0.574126527
4IVKAFYY,0.636018218
ZKYOSQEU,0.685438762
9JYXIDL4,0.99483229
XNURWQBT,0.051491921
HVNIJFQC,0.046112923
CGGVBJKZ,0.994579422
JO9DV3NY,0.312194894
EYENUQR9,0.538371461
FPU4ZI8H,0.073144169
2MALVTY4,0.125398311
QN4REV7D,0.056589572
27F5ZEQA,0.081509652
MKJUE4K2,0.076174595
4ECWF4DN,0.051749395
KWBJAQMY,0.048893409
3YAW8OEY,0.190295068
ZHHFH7H9,0.219138317
BO2822VM,0.146826223
NQZUPVUA,0.04182978
MUT2PZ7T,0.500141341
2MFKPCPS,0.66662715
4RLVOVMJ,0.745669553
JISGN7XF,0.051500081
NNOFHDAC,0.055245862
ODE23CPW,0.019690977
ZNTYNFME,0.370726791
NQM48VKU,0.152498078
DGVBCYY7,0.052354227
9F38NUKC,0.169005293
3Z7KCIZS,0.035697438
ERAX3STD,0.052931221
N9TCDYYG,0.039484997
R4UMWUZK,0.082905941
CPERTJBJ,0.151621838
4XK5BMA9,0.053683477
2PKDM5B2,0.067786573
SW5GTHZN,0.548454796
ATJAEQCJ,0.114587324
NHNXBSFY,0.162120055
NRGYTYZJ,0.064084232
UZNABWAT,0.049510392
CVP3VZN5,0.074600082
JEAYZXKC,0.046135332
87LFEVTZ,0.502276116
N7ZEJ2CQ,0.049948746
AQT3ADAP,0.053145896
WC8ROKF8,0.053129001
D9HWEXEV,0.087222264
MMHWGZCN,0.055750144
YKCAQFHU,0.40442614
NDPFBA9X,0.583816168
3T6C7AEA,0.235231433
GZWB38J9,0.043010539
OFTXYNYQ,0.052782955
QYZQIXBJ,0.663516616
N7PJT5HO,0.062669572
JP2PNX9X,0.268023797
N3FUZDIH,0.052981291
UXKAVBLS,0.024702892
G24JWDKS,0.043305808
HQOKKQVX,0.301926341
HTXFVZZG,0.054241765
3TJKVA4J,0.042400705
CRGS7FPX,0.053906602
BTRJTMR3,0.138875796
ERLPQML7,0.022187076
9FDFXYAW,0.628173362
MEEKFDZZ,0.056258942
ZGY8ETLW,0.23055834
AXVUJHT9,0.065763762
35ILRW7D,0.641350336
DR2U5JQX,0.068986843
WHZ7CEY6,0.281740768
UCPMS2KF,0.057612236
HB6MJHDN,0.379089154
7NWFPJ2X,0.136808481
4QXD6K4K,0.180876293
D6H3RTAZ,0.187259869
L67WSXUY,0.069672284
IXHVY78L,0.066159327
H6KE88O6,0.471839392
EAPKN7G8,0.995102305
GQXJSFJE,0.157482012
BVHSRABV,0.052065932
DUY76GFX,0.166313065
O7H9KPSD,0.524541216
6EDBA5AN,0.079676742
V24CAXFM,0.06922895
SERPSAWP,0.023726871
H47QYY5K,0.069180838
5TYQNFPE,0.510876517
HGDB7KMR,0.66073903
DWH8Q2S3,0.192583352
USNBQZAK,0.054059922
I89VR4AB,0.069425601
ATZVVXWJ,0.666307985
HOKP6ZTS,0.071993052
ZDKT2SSW,0.055548007
DK5HJYQE,0.040074475
ABKW7FGW,0.077748216
BCSW3W7T,0.049668668
6T4VNEWD,0.701556354
XBALBNYB,0.477958392
NWMJR3W5,0.058345658
Q5BJ4ULE,0.051588259
DOFSPEWD,0.656795887
ANX8FUBJ,0.049029887
KPR67SVO,0.024721155
44EV7IJE,0.047816888
VZEK4IOK,0.634153764
CZMKWRQN,0.051730074
VGQUQLXT,0.257556052
MS6GASNJ,0.027444481
4ENG9TKV,0.428819581
UHRRWLGR,0.063181107
APFSHZYP,0.052209222
M7MURWXC,0.594757326
3EOATQBT,0.050137815
MDZG7EZX,0.052909319
QZ6LSSTB,0.063276424
Y7EEZYYS,0.453955328
RYKLU6HL,0.056827166
CWQ8OAQ8,0.045179544
WSFUNE28,0.443241777
9PFQKPRB,0.06082809
MCLXWKBC,0.038689401
NWDXDZEN,0.458822047
EBLDBRDR,0.181067207
CJRW5JYT,0.406771118
CMMKRNUZ,0.190436386
EATPTPY3,0.047826139
J5AGUF6Q,0.066572015
8WYO2BBG,0.452236829
9EPXIMZB,0.042747594
UZERUG9W,0.097815987
QEQ79QUC,0.069665878
ZNHVE7QZ,0.123967732
PU3J43GY,0.57537711
HWDBXAUK,0.050316037
W74BHIAD,0.073818085
MGLDAPOA,0.052346189
BYFCPDX5,0.10034179
S2QDUDEJ,0.994994609
HBYRWBWL,0.023122208
8CIAWHWZ,0.586769678
ZFYFFXT5,0.08936673
UGIADHRB,0.115456095
JDDGRBSU,0.335699885
NBS2LTYW,0.487061489
DBKM3FRW,0.075398118
GLBHRXKB,0.043396296
9WDPTNCN,0.021607427
NVVVFQ9U,0.601781138
6AT635HW,0.165106166
HPHDI6NN,0.047194868
CPNAGJ95,0.048660764
FY6AFNCK,0.991281077
KWQAVZOE,0.526471376
HGBDE3LM,0.639205507
SYKEB6EV,0.056438556
9BROJWWS,0.565044344
CG8DGVAV,0.230504204
H7MT8CNK,0.05685271
GJVVWNKN,0.588907818
FXWTMJDG,0.132206657
OSNGFACM,0.061610225
PBFT55CF,0.989627473
4P8GFHSL,0.042115699
9ZZ4F4XF,0.587941659
CN4YERMU,0.53016842
8TUDLTWK,0.212563923
USFZPY7Z,0.024202123
VBJXREA8,0.041515727
9LBNXHQ2,0.273127235
PY6HCDWF,0.049295898
9VJMJR6X,0.059562786
4GAEJIQO,0.043705685
F34SD6YQ,0.057625636
HZ3BZVH6,0.256589174
9WVBAWEY,0.296358662
BPNYRSEH,0.048606562
7OGHEHO3,0.275275005
LRJZMHFT,0.05253359
PCHQW72T,0.638780815
BFJQGRFT,0.56003318
UVJ6UYBF,0.098002254
LRVO7MCH,0.32634683
EAOF4EYO,0.620290017
5HPCBEQQ,0.632391816
8FJBKABE,0.056221628
27J5UDAU,0.041504122
4MAT9RSM,0.545036988
SBDGZSY9,0.601598111
HPYN9M2Z,0.049642692
G7D2BESM,0.480776571
TWN7YQPN,0.046196838
BJRGMNFZ,0.223635677
9HFPJV3S,0.064430936
6WKJAUAG,0.041330433
BZUANVCU,0.183172344
NYWLDSFZ,0.488360559
LTW8JGAZ,0.05376666
IMDQJUTW,0.057376448
AVHZRCH8,0.228469007
LTSDWAVT,0.043059823
9WVKLADB,0.677584312
GXDSQJS2,0.040525936
4IHXKUNA,0.556175739
BTYDUQPC,0.059322743
BKCNFM72,0.186923277
UMVSSZ9N,0.065527203
N2STVKOI,0.055321032
ZZJQB3EY,0.673065266
FZJK9GH7,0.064108185
NTIWWNVB,0.04679134
NBCRWUBE,0.175608803
UBPYOBYG,0.073180141
K8RKMGVW,0.71381924
HFTH3NC2,0.040574191
759LCPDE,0.26256897
DYKME2AY,0.510349873
VZHURNZD,0.022149609
EAJJBYHU,0.468241041
T97TKZNT,0.621727676
IXOEQ2YD,0.93620585
BWKXTBCF,0.067054363
DNKPRVB3,0.393367533
JQCF2PXG,0.050893272
GIABLCP4,0.052095548
FDIC7S35,0.745567802
5RTNFJEV,0.027383239
OBZ4CU77,0.073724323
XMVX6WEB,0.199331086
MHARJGPA,0.054130346
2QI5GPDU,0.6337793
AE2NBAJ3,0.020221671
MDLANJZG,0.02427997
7TAP99MA,0.276989502
A6AMKR2Z,0.35159972
DX69CFXV,0.070691442
HKCKEKV4,0.226252214
CBNWXPJJ,0.476283335
Z3SJXFCA,0.133564245
RHTCABWR,0.783537545
ILGMVREG,0.311838406
BZK32SSP,0.05187759
25RR4UGE,0.060021573
9ZQFVNWY,0.108745628
FFSTFCAA,0.12511119
MBEDAX9Z,0.071697286
IYERPTUY,0.151581828
SBNMNBJE,0.022841781
CPWDDHBP,0.575895596
EN5EXSVB,0.064882371
EFT7687S,0.060308204
DUPIVFIW,0.052281839
HTVBHNFH,0.050954696
GFTV6AXH,0.055123924
NTNK2ZYN,0.075012519
NZ2MDLPM,0.16317153
UU4ECFQ5,0.372463879
FFWGNGVJ,0.047485943
JDQIBLRI,0.057989435
ZAWUVVWA,0.051213484
FC24V4XD,0.216373362
EKTZZYA2,0.06480525
RVRMHDD8,0.041380054
3RASGR5Y,0.306505783
QRBESHHG,0.056545285
MXYLFHSV,0.070646078
TY85POPR,0.133678673
BHXO9INE,0.046178143
S2RKLYZH,0.645909791
98GUQS9R,0.626295271
6VD8FK4Y,0.048116239
FMUHBZHQ,0.053692592
IHQY3US8,0.568443551
VDSNW6DR,0.079994752
JF8E8TCY,0.262808168
EKVBDN5B,0.213609022
LJOYHFHT,0.061846382
8WBDXKKG,0.570422452
LNAASJ6O,0.049153141
HGTW39J8,0.06586029
AMYH3YSJ,0.169070031
QZRPEWE6,0.062436343
9RBSJHBJ,0.445558043
EFZ3ADG9,0.045307096
CMQX6K9J,0.270164145
DBVXEJCR,0.063096978
PLYKWBFR,0.054393683
7QNURUDE,0.051736831
M8TD2YPV,0.375328864
JVJZVKUJ,0.674577457
XVUVCSM8,0.677497167
C9CMNJEH,0.289468075
IQLV6HTY,0.119418532
ELG7YZUM,0.053193741
PU9KWVOH,0.713545777
HAYJGRRV,0.059418876
KBKUHSLA,0.101557474
USL6KBDY,0.045260203
ZGLCSKTI,0.064234611
9JQWNRGA,0.209077692
EBVUVT88,0.051790635
9ZU5GNSK,0.277908619
EC7NIRSV,0.052960487
JJ23TDTX,0.068472142
IZWY5RYD,0.137721846
TSYCNH93,0.052196629
QSY6Q77W,0.228915411
TOBSGQ3J,0.343842355
FKGE6YRE,0.616653851
MGAYPPJE,0.053356719
IJRFUH6V,0.151877209
KX9Y3LCV,0.055545838
2ZDDJYHE,0.68482871
NBMLMYQE,0.043039696
E8XWCECR,0.340815294
5FP4HKBU,0.185882186
FUKFFD3F,0.39637019
8BDSMQUY,0.044329815
39T7KUFC,0.063756599
HZSPWI2U,0.657873687
LEJJKOWC,0.050047221
DR5F2HVS,0.482160912
BJA5TRWJ,0.504274192
NCVH9WFE,0.091510192
ME3XYUC5,0.432990043
VLCHSDHG,0.073118632
59CV3HQQ,0.240162302
JTAEBBQM,0.045949472
OBHDYLE2,0.224311788
EUEGA65T,0.050241938
MO9XWHWE,0.184334467
K3JSVGHE,0.052996563
JFHAQZQM,0.067629829
22IQJE4I,0.641254785
F57YH86H,0.069732042
BPNYWIPI,0.055262798
FJB78783,0.11516165
DIVE6ZUL,0.074516612
YACVPC9M,0.257842374
A3FM9UVE,0.054000914
9NE6ZC2Q,0.10761949
4NHTDBJN,0.102722333
3FH863BT,0.021376246
3UBBVIGN,0.45518607
NNP9TLV2,0.564964174
SA7VUUTE,0.043443668
ROG7ONJG,0.612222598
ICEBXJHF,0.156223439
HFTYHFAZ,0.06290197
EC5IQBEK,0.052020014
VQPXGNJV,0.043354521
BNE8WOYV,0.505841019
MKEXSYJN,0.056214288
B2MY2KQE,0.207834996
GZVND3WE,0.501840584
JZ8ASRBZ,0.993522182
UMQWVVHH,0.595208208
MDGISGP7,0.043434719
JMVHKVGP,0.03866507
G5GPWASE,0.6489957
A9H3PMBD,0.045981367
DKEMLQCU,0.579792854
VVPNRFRF,0.582471147
AVIBMJNL,0.343982128
3FNEIWTQ,0.042844542
WMQIVFIH,0.089706148
GUSEEXX5,0.402092236
HZBZ7QMH,0.053114605
KMTZWEXS,0.02309914
62AXBXBL,0.149330642
FW6GESXM,0.030927915
A67RATVB,0.05050913
HUWJHKEG,0.06048299
KCHF33KH,0.081392854
CJUKTB4B,0.082330862
FA8NWHGK,0.07648065
6UZE4NSH,0.593030734
4UUZBMXW,0.309055409
QMRXRYDB,0.04242533
M3A5BVAC,0.932803956
II63YKTB,0.062913516
4OYB27TY,0.403146222
IEN9X6H8,0.165995662
U9VVATUM,0.235309265
SFOYCMRR,0.716306423
O7WYJHA5,0.459294699
STEKRYHT,0.022041522
QSX9J6OF,0.425843609
EVT46GYN,0.04018408
IQHUPR8Z,0.053335452
98WUTF8M,0.022197947
5JUSHPUM,0.052619032
9FMK8FZU,0.051974747
WPWW4JUN,0.713549373
8QUXAAHS,0.164034412
EU8RGIP7,0.064445832
BFT7ZJQO,0.044800193
4EQAO8W3,0.566946751
F3RWQSVQ,0.320040286
FUA3S84W,0.054918111
G9WITTNH,0.057515767
TE4CM6N8,0.994758033
L93TY7Q6,0.025168714
MK46HOFS,0.363603761
NSUSAJ7C,0.031806257
ZQXJP6PH,0.150614704
YX6PNVKN,0.046980153
7V7IJDSU,0.384215688
BSDHE7F2,0.459882957
DV5EXZEZ,0.413769308
VDKS85PW,0.499985082
4W48SFHV,0.621151111
ANGVCUXZ,0.053461718
IOST7D8C,0.734463481
HAQAECZX,0.032120241
GAB49KQU,0.429535197
GEBCXWCU,0.079978155
JPT2DAGQ,0.654220822
RXYEGKFP,0.737648853
4R6HCRNW,0.054653548
MWRTSE9B,0.054441965
JAC7FJCA,0.591062318
5DCT43QX,0.024684465
GFZMAKDD,0.056368667
8WVWSZNF,0.048034876
KCBVOKZ8,0.616247089
NRCEX3F3,0.047651466
59KYREQZ,0.046475398
S2HTHOYG,0.04971175
98QJA4ZA,0.05394923
8S27HJRE,0.327623289
MTEWWARX,0.05824556
PH8LQUCB,0.221326958
BYB9URVZ,0.756805611
3TYYHEQU,0.067466911
WTOPV47E,0.680241511
HGNGPJXH,0.517728084
LE5M9QWH,0.073366037
7YR3Z54H,0.08740971
9DLYZCUW,0.180217054
RKYQQQL5,0.362828739
5UTFCCXZ,0.355720866
JCYRCTNE,0.622021442
AJIVJ4WE,0.319209108
JTCERL4D,0.056402935
XWS2DC9M,0.045445801
TVIX5INS,0.518710813
CIQZ4NJS,0.14434018
EJRPJ86R,0.054659183
HPQBQGWQ,0.050732355
FR38HJFG,0.623499818
JPXNNMXQ,0.615814362
HWED8UBF,0.504671035
CJ6ILARS,0.037288107
MBCCSXEA,0.051476232
4S84NTNM,0.059404499
ADGV3FDY,0.144746555
HSAJUCOR,0.631820349
HHV3JEXF,0.044919674
DHARALYV,0.088497528
KBVN65GH,0.045839455
UYHCQN7W,0.066866156
9VXSCU6F,0.06008454
F2DBEMXE,0.279401486
6VN358PX,0.06488349
T2J5Y8NB,0.022268916
HPXJGYEZ,0.991473002
CS5NAYPP,0.600101446
2UC6R5XE,0.630424246
KZ8TKYP4,0.053096839
Y8XIC3AH,0.183352288
GCT9PSGP,0.05314264
MPQQFX4I,0.081815984
8VCZYPZD,0.048947185
JCIQPZLE,0.050311589
AYSUMKSF,0.163425246
VVAVU9BN,0.391171376
F3NBRACB,0.051459144
FPIGVTHX,0.068187325
X7XNXJVW,0.049384476
JEKWRXYH,0.632343137
MNGYZO5U,0.063081631
FXPCJ7GE,0.701750346
BUXRB7CD,0.06094953
JV4MCTHN,0.03954952
JUFQ5PVJ,0.573185517
ENLVSM6O,0.287464919
CJHC43KV,0.2749571
N4NSCGHE,0.549838016
FUVHQRWB,0.054489122
GTQHBCF7,0.584020625
DSB6DIRV,0.140297296
BVUKQQRV,0.042443474
KZCHX6LW,0.300071342
M5XAM7HE,0.052494775
YODUTYZU,0.329805921
JEREISWR,0.536213373
FTHIZFGT,0.214230067
7TCFIDRX,0.062669992
V8CRCBLR,0.054269572
XEDZWKEX,0.601032207
RAD4GZKE,0.055202477
FY8NXMD2,0.023358769
KVZXQCUM,0.553432843
JXRP92WY,0.039639574
IYA3LI6E,0.110404174
FXEUAUMU,0.235211958
KXVZ3BNR,0.026117532
FTDASK8G,0.66856456
JZQZ7RWM,0.052141086
HNPMBXDN,0.054101959
3SUTYK7Z,0.050906109
EHAW2L37,0.052333737
H5HWWKTM,0.1877351
BQVSKRPN,0.049023278
EUK3CR9A,0.263365499
VRMGCTGP,0.055356139
ENDZJZGR,0.053873008
NSSYQFVN,0.055665425
7TRWUSYQ,0.995543448
7Z6JWBCW,0.048076394
7DR4UVAZ,0.27771485
H7YECJLG,0.387576896
CUNTRPMN,0.585938161
VQQEMTVX,0.073338864
NWMFKQLZ,0.057307155
FIUW4SGY,0.049868008
JCVXZSJS,0.049387837
VZRUA5XP,0.593620302
923REBWY,0.044951787
3FKWHVLC,0.053294533
V8JTYKKL,0.216880981
A4MRC8NU,0.632718798
CQJTCLCJ,0.568064305
L9O3NMDQ,0.048019739
7DFWCHAN,0.067056819
NK7CWSGK,0.544810121
OLLGNEK9,0.05059261
KVOLRR62,0.070962372
KAI7SJGY,0.36747952
5LYDNC27,0.147741913
LPGW9PN3,0.137996907
4WA5JPWP,0.05206347
GCDXLWAN,0.303543029
7V6GQUOD,0.265291157
ENYQCCWM,0.058211898
B3BUXXA4,0.247599911
PC7INMMF,0.257845075
6PJ9NW3X,0.558924535
DXYC8WIG,0.63043582
DPKUYNJK,0.209781394
6ZRSCJ6J,0.383308061
CPX4EYVB,0.717971724
T28RFIEL,0.050138855
D4GXBMM8,0.063980474
JMQJAZHA,0.256220164
RZSFMVB9,0.609899749
T2QWMIDV,0.475776583
GRM6UHIW,0.05439673
X2SD7FMK,0.230148537
I4SENFDI,0.049877997
YSNU9M3K,0.439247153
USGXXPJH,0.666270814
QPQZPSMH,0.0754362
QPZDTV5V,0.047253543
H28ZERNP,0.99365214
UNWHQWCY,0.073171664
7N8BRMDU,0.053096908
DFMGCWHV,0.135563642
8FP6ENF4,0.594641069
FAO6XGQE,0.071500977
X5FCJHQ5,0.039925348
GGFPEVFR,0.114660685
AP9SCCXC,0.19867726
WONWP8QB,0.052123849
CWEKUQ4P,0.935155173
C5CGJVQZ,0.655608186
HO4YRWYD,0.039830246
HLIYGGYA,0.049374095
QKAJK2VB,0.647344353
